file_name,chunk_index,page,content_length,car_count,cl_count,far_count,content_preview
VCS_1522_3.pdf,49,29,661,0,0,0,Evidences (Documents/ Microsoft Teams remote interview/Physical site visit) referred for verificatio...
VCS_1522_3.pdf,50,30,1426,0,0,0,"4.6 Non-Permanence Risk Analysis

Not applicable.

VERIFICATION CONCLUSION

4K Earth Science Pvt. Lt..."
VCS_1522_3.pdf,51,30,1433,0,0,0,"30

Vv vcs

Verification Report: VCS Version 4.2

In our opinion the GHG emissions reductions report..."
VCS_1522_3.pdf,52,31,1081,0,0,0,"3]

VCs

Verification Report: VCS Version 4.2

01/01/2023 to 30/06/2023 to 30/06/2023 Total 706,914 ..."
VCS_1522_3.pdf,53,34,29,0,0,0,APPENDIX |: LIST OF DOCUMENTS
VCS_1522_3.pdf,54,34,1398,0,0,0,"/V/ /1.1/ Monitoring Report, Version 1.0, dated 05/10/2023 (Initial Version) /1.2/ Monitoring Report..."
VCS_1522_3.pdf,55,34,290,0,0,0,/12/ Power Purchase Agreement between PP and Utility company (COMPAGNIE IVOIRIENNE D’ELECTRICITE (CI...
VCS_1522_3.pdf,56,34,161,0,0,0,"reports)

/16/ . ge a Monthly power metering reconciliations for invoicing

/17/ Company registratio..."
VCS_1522_3.pdf,57,35,1476,0,0,0,/18/ The ‘Public Interest Decree’ promulgated by the President of Cote d’lvoire /19/ | the Right of ...
VCS_1522_3.pdf,58,35,180,0,0,0,"This article explains higher production thanks to Buyo DAM, thus higher water release CONSOMMATEURS-..."
VCS_1522_3.pdf,59,35,377,0,0,0,"35

VCs

Verification Report: VCS Version 4.2

APPENDIX II: VERIFICATION FINDINGS

Table 1. Remainin..."
VCS_1522_3.pdf,60,36,1202,0,0,0,"Table 2. CL from this verification

No CL raised during this verification.

a ; 7 ided! 7 = DOE asse..."
VCS_1522_3.pdf,61,37,637,0,0,0,"Date: 14/02/2024

Hence this CAR is closed. Clarification has been provided by PP and found OK. Last..."
VCS_1522_3.pdf,62,37,192,0,0,0,"Table 4. FAR from this verification

No FAR raised during this verification.

D a ECAR NA Pro; a Dat..."
VCS_1522_3.pdf,63,38,1326,0,0,0,"APPENDIX III: TEAM COMPETENCE

Certificate of Competence Name DX] Mr. Chetan Swaroop Sharma Ms. Qual..."
VCS_1522_3.pdf,64,39,854,0,0,0,"Certificate of Competence

Appointed to work as:

CDM Team Team Technical | Technical | Financial Va..."
VCS_1522_3.pdf,65,40,719,1,1,1,"APPENDIX IV: ABBREVIATIONS

CAR Corrective Action Request CDM Clean Development Mechanism CL Clarifi..."
VCS_1465_1.pdf,0,1,1037,0,0,0,"VERIFICATION OF “BUNDLED WIND POWER PROJECT IN RAJASTHAN BY ORANGE RENEWABLE POWER PRIVATE LIMITED”
..."
VCS_1465_1.pdf,1,2,1144,0,0,0,Orange Renewable Power Private Limited has appointed EPIC Sustainability Services Private Limited to...
VCS_1465_1.pdf,2,2,630,0,0,0,"The verification team identified, through the verification process, ten CARs and one CL. No FAR is r..."
VCS_1465_1.pdf,3,3,1484,0,0,0,Table Of Contents ......0. cece ec cece ree eeeeeeecececneceeceseesseseseesseceeseseseeseseessecesse...
VCS_1465_1.pdf,4,3,1316,0,0,1,2.5 ReSOlution Of FINGINGS........ cee eeeeeeeeeeeeeeeeneeseteeeeeeseeeseeseseeeeaeeeeeeaeseeseeesae...
VCS_1465_1.pdf,5,3,620,0,0,0,"1

2

3

A

4.2 Accuracy of GHG Emission Reduction and Removal Calculations ..0.......ceceeeeeseeeee..."
VCS_1465_1.pdf,6,5,1017,0,0,0,"1 INTRODUCTION

1.1 Objective

EPIC Sustainability Services Private Limited (EPIC) has been contract..."
VCS_1465_1.pdf,7,5,853,0,0,0,The scope of the verification was the independent and objective review and ex-post determination of ...
VCS_1465_1.pdf,8,5,636,0,0,0,"1.3. Level of Assurance

In line with VCS requirements and as per ISO 14064-3:2006 para A.2.3.2, a r..."
VCS_1465_1.pdf,9,6,1361,0,0,0,"1.4 Summary Description of the Project

The project activity is a Grid connected wind power project ..."
VCS_1465_1.pdf,10,6,597,0,0,0,"2 VERIFICATION PROCESS

2.1 Method and Criteria

The verification process consists of the following ..."
VCS_1465_1.pdf,11,7,1493,0,0,0,Ref. No. Reference Document /P1/ | /P1.1/ | VCS Monitoring report of the monitoring period 1 (31-Mar...
VCS_1465_1.pdf,12,7,83,0,0,0,"Calibration 29/03/2013 Certificate of energy meter (Sr No: RJB78201), testing dated"
VCS_1465_1.pdf,13,7,1054,0,0,0,"Calibration Certificate of energy meter (Sr No: RJB78201), testing dated 13/01/2015

OJWEPL PSS Feed..."
VCS_1465_1.pdf,14,8,928,0,0,0,"Ref. Document No /B1/ Validation Documents: VCS-Project Description, version 02, dated 25-March-2015..."
VCS_1465_1.pdf,15,9,1015,0,0,0,"Gold standard Registry:

https://mer.markit.com/br-

CDM: http://cdm.unfccc.int/Projects/projsearch...."
VCS_1465_1.pdf,16,9,984,0,0,1,"2.4 Site Inspections

on-site assessment was conducted as a part of verification activity and involv..."
VCS_1465_1.pdf,17,10,1046,2,0,0,"2.5 Resolution of Findings

Resolution of Clarification and Corrective Action Requests The objective..."
VCS_1465_1.pdf,18,10,804,0,0,1,"2.5.1 Forward Action Requests

No Forward Action Request (FAR) is raised in this verification proces..."
VCS_1465_1.pdf,19,10,286,0,0,0,"3.2 Methodology Deviations

No methodology deviations found in this monitoring period.

3.3 Project ..."
VCS_1465_1.pdf,20,11,1169,0,0,0,Original description in PD Revised description in MR Verification team’s opinion Net electricity sup...
VCS_1465_1.pdf,21,11,736,0,0,0,Import — Transmission Loss) Source of net electricity is Joint Meter Reading (JMR) Point’. (Net Elec...
VCS_1465_1.pdf,22,11,1165,0,0,0,"project owner. Hence the source for

net electricity provided in the MR is appropriate.

It is a min..."
VCS_1465_1.pdf,23,12,1229,0,0,1,"4 VERIFICATION FINDINGS

4.1 Project Implementation Status

The verification based on the onsite obs..."
VCS_1465_1.pdf,24,13,1477,0,0,0,"Parameter Value considered Conclusion by the verification team Ex-Ante Parameter EF grid,omsimpley -..."
VCS_1465_1.pdf,25,13,148,0,0,0,"+

Ifthe project activity is the installation of a Greenfield power plant, then: EGPJ,y = EGfacility..."
VCS_1465_1.pdf,26,14,1426,0,0,0,project WTGs) at the injection point. The monthly readings of import & export are jointly recorded b...
VCS_1465_1.pdf,27,14,1205,0,0,0,"Based on the GSS reading and controller reading of each WTG, the ReGen apportions the export & impor..."
VCS_1465_1.pdf,28,15,1331,0,0,0,"As per the methodology, the baseline emission is calculated as follows:

BEy = EGpj,y* EF gria,cmy

..."
VCS_1465_1.pdf,29,16,1115,0,0,0,Hence verification team conclude that the GHG emission reductions and removals have been quantified ...
VCS_1465_1.pdf,30,16,1441,0,0,0,"As mentioned in the VCS Project Description, the calibration is not within the control of project pr..."
VCS_1465_1.pdf,31,17,1156,0,0,0,"*even though earlier calibration was valid, the second calibration was done by the state DISCOM

ORP..."
VCS_1465_1.pdf,32,18,1433,0,0,0,"4.4 Non-Permanence Risk Analysis

Not applicable for non-AFOLU projects.

5 VERIFICATION CONCLUSION
..."
VCS_1465_1.pdf,33,18,1494,0,0,0,e the project is implemented as described in the validated PD except the deviations mentioned in sec...
VCS_1465_1.pdf,34,19,956,0,0,0,The verifier confirms that the GHG emission reductions were calculated without material misstatement...
VCS_1465_1.pdf,35,21,36,0,0,0,APPENDIX I: RESOLUTION OF CARS & CLS
VCS_1465_1.pdf,36,21,670,4,0,1,CARICL Observation (CARI/CL) Summary of project owner response The Report ID and Project ID has been...
VCS_1465_1.pdf,37,21,1334,1,0,0,CAR 03 It is mentioned that ‘Quantity of net electricity supplied to the grid during the year y’ wil...
VCS_1465_1.pdf,38,21,57,0,0,0,"21

VERIFIED VCS | 8s

VERIFICATION REPORT: ves version 3"
VCS_1465_1.pdf,39,22,1469,2,0,0,"found the deviation does not affect applicability of methodology, baseline and addtionality of the p..."
VCS_1465_1.pdf,40,22,57,0,0,0,"22

VERIFIED VCS | 8s

VERIFICATION REPORT: ves version 3"
VCS_1465_1.pdf,41,23,1155,4,0,0,project is described under section 3.3 of the revised MR. CAR-O5 is closed. CAR 06 MR-Section 3.2: T...
VCS_1465_1.pdf,42,23,791,3,0,0,CAR 08 MR-Section 3.3: In the metering diagram the following | mistakes were found: . ° is mentioned...
VCS_1465_1.pdf,43,23,64,0,0,0,"< @ w

23

VERIFIED VCS | 8s

VERIFICATION REPORT: ves version 3"
VCS_1465_1.pdf,44,24,903,2,0,0,not mentioned. values wherever applicable. e Units for the energy generation is now provided in the ...
VCS_1465_1.pdf,45,24,1232,0,1,0,CL 01 MR-Section 4.4: Actual emission reduction achieved during the monitoring period is 9.63% more ...
VCS_1465_1.pdf,46,24,256,0,1,0,"24

energy generation during the current monitoring period is only 10.48% higher than the estimated ..."
